Site,Time Point,Agaricia Cover,Porites Cover
Almirante,T0,14,0
Almirante,T0,17,2
Almirante,T0,17,0
Almirante,T0,28,0
Almirante,T0,15,0
Almirante,T0,25,0
Almirante,T0,9,0
Almirante,T0,9,0
Almirante,T0,28,0
Almirante,T0,9,0
Almirante,T0,0,0
Almirante,T0,10,0
Almirante,T0,8,0
Almirante,T0,15,0
Almirante,T0,29,0
Almirante,T0,39,0
Almirante,T0,18,0
Almirante,T0,22,0
Almirante,T0,15,0
Almirante,T0,2,0
Caracol,T0,0,1
Caracol,T0,2,1
Caracol,T0,0,0
Caracol,T0,0,0
Caracol,T0,0,0
Caracol,T0,1,0
Caracol,T0,0,2
Caracol,T0,0,0
Caracol,T0,0,0
Caracol,T0,0,0
Caracol,T0,0,0
Coral Cay,T0,8,4
Coral Cay,T0,6,3
Coral Cay,T0,1,1
Coral Cay,T0,7,1
Coral Cay,T0,12,0
Coral Cay,T0,0,1
Coral Cay,T0,1,1
Coral Cay,T0,13,7
Coral Cay,T0,0,0
Coral Cay,T0,1,0
Coral Cay,T0,1,5
Pastores,T0,0,1
Pastores,T0,0,4
Pastores,T0,0,17
Pastores,T0,1,0
Pastores,T0,0,0
Pastores,T0,0,57
Pastores,T0,0,0
Pastores,T0,0,0
Pastores,T0,0,1
Pastores,T0,0,2
Pastores,T0,0,2
Popa,T0,3,8
Popa,T0,4,12
Popa,T0,8,5
Popa,T0,9,7
Popa,T0,11,3
Popa,T0,20,12
Popa,T0,16,3
Popa,T0,3,4
Popa,T0,1,6
Popa,T0,6,1
Popa,T0,3,3
Punta Juan,T0,0,1
Punta Juan,T0,0,2
Punta Juan,T0,1,2
Punta Juan,T0,3,0
Punta Juan,T0,1,1
Punta Juan,T0,0,7
Punta Juan,T0,17,1
Punta Juan,T0,2,0
Punta Juan,T0,24,7
Punta Juan,T0,13,3
Punta Juan,T0,2,1
Salt Creek,T0,28,1
Salt Creek,T0,7,0
Salt Creek,T0,6,0
Salt Creek,T0,6,2
Salt Creek,T0,5,6
Salt Creek,T0,0,61
Salt Creek,T0,2,28
Salt Creek,T0,4,29
Salt Creek,T0,8,6
Salt Creek,T0,2,17
Salt Creek,T0,20,3
STRI,T0,7,4
STRI,T0,2,0
STRI,T0,9,9
STRI,T0,42,15
STRI,T0,0,0
STRI,T0,8,3
STRI,T0,1,2
STRI,T0,13,0
STRI,T0,0,0
STRI,T0,7,0
Cayo Roldan,T1,4,50
Cayo Roldan,T1,0,10
Cayo Roldan,T1,0,32
Cayo Roldan,T1,10,18
Cayo Roldan,T1,6,18
Cayo Roldan,T1,10,26
Cayo Roldan,T1,4,42
Cayo Roldan,T1,2,18
Cayo Roldan,T1,6,0
Cayo Roldan,T1,26,0
Cayo Roldan,T1,22,0
Hospital Point,T1,40,2
Hospital Point,T1,60,2
Hospital Point,T1,20,62
Hospital Point,T1,40,2
Hospital Point,T1,24,22
Hospital Point,T1,42,2
Hospital Point,T1,38,10
Hospital Point,T1,8,6
Hospital Point,T1,0,2
Hospital Point,T1,0,4
Hospital Point,T1,0,0
Mainland,T1,0,26
Mainland,T1,0,68
Mainland,T1,0,8
Mainland,T1,0,46
Mainland,T1,0,12
Mainland,T1,0,30
Mainland,T1,0,0
Mainland,T1,0,0
Mainland,T1,0,2
Mainland,T1,0,16
Mainland,T1,0,64
Almirante,T3,0,26
Almirante,T3,14,12
Almirante,T3,1,22
Almirante,T3,5,16
Almirante,T3,4,24
Almirante,T3,2,26
Almirante,T3,1,20
Almirante,T3,2,24
Almirante,T3,4,2
Almirante,T3,2,0
Almirante,T3,0,0
Almirante,T3,8,0
Almirante,T3,1,0
Almirante,T3,1,0
Almirante,T3,14,0
Almirante,T3,6,0
Almirante,T3,1,0
Almirante,T3,0,0
Almirante,T3,4,0
Almirante,T3,0,0
Caracol,T3,3,0
Caracol,T3,0,0
Caracol,T3,0,0
Caracol,T3,0,0
Caracol,T3,1,0
Caracol,T3,0,0
Caracol,T3,0,0
Caracol,T3,0,0
Caracol,T3,0,0
Caracol,T3,0,0
Cayo Roldan,T3,0,26
Cayo Roldan,T3,0,12
Cayo Roldan,T3,0,22
Cayo Roldan,T3,2,16
Cayo Roldan,T3,4,24
Cayo Roldan,T3,0,26
Cayo Roldan,T3,0,20
Cayo Roldan,T3,0,24
Cayo Roldan,T3,0,2
Cayo Roldan,T3,2,0
Cayo Roldan,T3,12,0
Coral Cay,T3,0,0
Coral Cay,T3,0,2
Coral Cay,T3,0,2
Coral Cay,T3,0,1
Coral Cay,T3,9,3
Coral Cay,T3,1,0
Coral Cay,T3,0,2
Coral Cay,T3,1,2
Coral Cay,T3,12,7
Coral Cay,T3,0,0
Coral Cay,T3,0,0
Hospital Point,T3,27,6
Hospital Point,T3,22,3
Hospital Point,T3,15,63
Hospital Point,T3,22,1
Hospital Point,T3,14,18
Hospital Point,T3,43,3
Hospital Point,T3,29,8
Hospital Point,T3,11,3
Hospital Point,T3,0,10
Hospital Point,T3,0,10
Hospital Point,T3,0,0
Mainland,T3,0,8
Mainland,T3,0,24
Mainland,T3,0,11
Mainland,T3,1,34
Mainland,T3,0,12
Mainland,T3,0,30
Mainland,T3,0,0
Mainland,T3,0,3
Mainland,T3,0,0
Mainland,T3,0,19
Mainland,T3,0,51
Pastores,T3,0,0
Pastores,T3,0,0
Pastores,T3,0,4
Pastores,T3,0,1
Pastores,T3,0,1
Pastores,T3,0,0
Pastores,T3,0,0
Pastores,T3,0,0
Pastores,T3,0,0
Pastores,T3,0,2
Pastores,T3,0,0
Popa,T3,3,1
Popa,T3,3,16
Popa,T3,0,18
Popa,T3,16,2
Popa,T3,1,4
