Image ID,Image name,Annotation status,Points,Acropora cervicornis,Acropora palmata,Agaricia,Bleached Hard Coral,Bleached Other Corals,Colpophylia,Dichocoenia,Diploria spp,Eusmilia,Favia,Hard coral,Isophyllia,Leptoseris,Madracis,Manicina areolata,Meandrina,Montastraea,Mussa angulosa,Mycetophyllia,Oculina,Orbicella,Orbicella annularis,Orbicella faveolata,Orbicella franksi,Phyllangia,Porites asteroides,Porites (branching),Porites colonensis,Porites divaricata,Porites furcata,Porites (massive),Porites porites,Pseudodiploria strigosa,Scolymia,Siderastrea,Solenastrea,Stephanocoenia spp.,Anemone,Benthic Invertebrate,Boring sponge,Diadema antillarum,Echinoderms: Ophiuroids:Brittle / snake stars,Echinoderms: Sea stars,Echinoderms: sea urchin,Echinometra viridis,Encrusting gorgonian,Encrusting sponge,Feather Duster Worms,Millepora,Other invertebrate,Other sessile invertebrates,Sedentary Annelida Polychaeta,Soft Coral,Sponge,Sponge: globular,Sponge (massive),"Sponges: Branching, Rope Forms",Sponges: Erect forms:  Branching,Sponges: Massive forms: Barrels,Tridacna: Giant clam,Tube or Rod Sponge,Tunicate,Zoanthid,Sand,Bare Substrate,Dead coral,Fish,Framer,Rubble,Unknown,CCA (crustose coralline algae),Macroalgae,Macroalgae: Articulated calcareous,Macroalgae: Encrusting: calcareous,Turf Algae (macroalgae)
4209696,Almirante_000m_20230315_T8.JPG,Confirmed,50,0.000,0.000,38.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,4.000,0.000,0.000,38.000,0.000,12.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4344843,Almirante_000m_20240130_T9.JPG,Confirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,0.000,4.000,26.000,0.000,34.000,0.000,2.000,8.000,0.000,0.000,0.000,0.000,8.000,2.000
4209697,Almirante_002m_20230315_T8.JPG,Confirmed,50,0.000,0.000,12.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,10.000,0.000,4.000,50.000,0.000,2.000,0.000,10.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000
4344844,Almirante_002m_20240130_T9.JPG,Confirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,2.000,0.000,2.000,30.000,0.000,8.000,0.000,0.000,32.000,0.000,0.000,0.000,0.000,10.000,10.000
4209698,Almirante_004m_20230315_T8.JPG,Confirmed,50,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,32.000,0.000,12.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4344845,Almirante_004m_20240130_T9.JPG,Confirmed,50,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,52.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,12.000,8.000
4209699,Almirante_006m_20230315_T8.JPG,Confirmed,50,0.000,0.000,12.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,4.000,0.000,6.000,52.000,0.000,4.000,0.000,6.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000
4344846,Almirante_006m_20240130_T9.JPG,Confirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,4.000,0.000,14.000,38.000,0.000,6.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,0.000,12.000
4209700,Almirante_008m_20230315_T8.JPG,Confirmed,50,0.000,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,6.000,0.000,2.000,52.000,0.000,8.000,0.000,4.000,2.000,0.000,0.000,0.000,0.000,0.000,2.000
4344847,Almirante_008m_20240130_T9.JPG,Confirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,16.000,0.000,0.000,0.000,0.000,4.000,30.000,0.000,0.000,0.000,0.000,22.000,0.000,2.000,0.000,0.000,2.000,18.000
