Site,Time Point,Calcifiers Cover
Almirante,T0,17
Almirante,T0,25
Almirante,T0,19
Almirante,T0,30
Almirante,T0,17
Almirante,T0,28
Almirante,T0,12
Almirante,T0,13
Almirante,T0,30
Almirante,T0,11
Almirante,T0,0
Almirante,T0,12
Almirante,T0,10
Almirante,T0,15
Almirante,T0,34
Almirante,T0,40
Almirante,T0,24
Almirante,T0,23
Almirante,T0,21
Almirante,T0,19
Caracol,T0,11
Caracol,T0,3
Caracol,T0,1
Caracol,T0,35
Caracol,T0,22
Caracol,T0,8
Caracol,T0,10
Caracol,T0,0
Caracol,T0,3
Caracol,T0,9
Caracol,T0,29
Coral Cay,T0,29
Coral Cay,T0,20
Coral Cay,T0,8
Coral Cay,T0,20
Coral Cay,T0,86
Coral Cay,T0,5
Coral Cay,T0,11
Coral Cay,T0,39
Coral Cay,T0,22
Coral Cay,T0,26
Coral Cay,T0,31
Pastores,T0,11
Pastores,T0,8
Pastores,T0,23
Pastores,T0,8
Pastores,T0,10
Pastores,T0,58
Pastores,T0,2
Pastores,T0,2
Pastores,T0,4
Pastores,T0,3
Pastores,T0,7
Popa,T0,25
Popa,T0,35
Popa,T0,29
Popa,T0,44
Popa,T0,42
Popa,T0,37
Popa,T0,63
Popa,T0,38
Popa,T0,11
Popa,T0,61
Popa,T0,25
Punta Juan,T0,10
Punta Juan,T0,30
Punta Juan,T0,18
Punta Juan,T0,29
Punta Juan,T0,28
Punta Juan,T0,44
Punta Juan,T0,27
Punta Juan,T0,16
Punta Juan,T0,43
Punta Juan,T0,25
Punta Juan,T0,30
Salt Creek,T0,35
Salt Creek,T0,45
Salt Creek,T0,53
Salt Creek,T0,65
Salt Creek,T0,56
Salt Creek,T0,69
Salt Creek,T0,49
Salt Creek,T0,36
Salt Creek,T0,34
Salt Creek,T0,20
Salt Creek,T0,32
STRI,T0,24
STRI,T0,51
STRI,T0,24
STRI,T0,67
STRI,T0,1
STRI,T0,39
STRI,T0,6
STRI,T0,15
STRI,T0,8
STRI,T0,10
Cayo Roldan,T1,54
Cayo Roldan,T1,24
Cayo Roldan,T1,32
Cayo Roldan,T1,38
Cayo Roldan,T1,28
Cayo Roldan,T1,38
Cayo Roldan,T1,48
Cayo Roldan,T1,28
Cayo Roldan,T1,6
Cayo Roldan,T1,32
Cayo Roldan,T1,28
Hospital Point,T1,48
Hospital Point,T1,78
Hospital Point,T1,90
Hospital Point,T1,52
Hospital Point,T1,48
Hospital Point,T1,58
Hospital Point,T1,58
Hospital Point,T1,36
Hospital Point,T1,16
Hospital Point,T1,16
Hospital Point,T1,50
Mainland,T1,28
Mainland,T1,68
Mainland,T1,16
Mainland,T1,50
Mainland,T1,16
Mainland,T1,34
Mainland,T1,12
Mainland,T1,10
Mainland,T1,14
Mainland,T1,20
Mainland,T1,66
Almirante,T3,3
Almirante,T3,20
Almirante,T3,2
Almirante,T3,7
Almirante,T3,6
Almirante,T3,3
Almirante,T3,2
Almirante,T3,4
Almirante,T3,6
Almirante,T3,3
Almirante,T3,0
Almirante,T3,8
Almirante,T3,4
Almirante,T3,2
Almirante,T3,17
Almirante,T3,8
Almirante,T3,2
Almirante,T3,2
