Site,Time Point,Reef Builder Cover
Almirante,T0,14
Almirante,T0,19
Almirante,T0,17
Almirante,T0,28
Almirante,T0,15
Almirante,T0,25
Almirante,T0,9
Almirante,T0,9
Almirante,T0,28
Almirante,T0,9
Almirante,T0,0
Almirante,T0,10
Almirante,T0,8
Almirante,T0,15
Almirante,T0,30
Almirante,T0,39
Almirante,T0,18
Almirante,T0,22
Almirante,T0,20
Almirante,T0,14
Caracol,T0,11
Caracol,T0,3
Caracol,T0,0
Caracol,T0,35
Caracol,T0,22
Caracol,T0,7
Caracol,T0,10
Caracol,T0,0
Caracol,T0,3
Caracol,T0,9
Caracol,T0,29
Coral Cay,T0,15
Coral Cay,T0,10
Coral Cay,T0,7
Coral Cay,T0,18
Coral Cay,T0,83
Coral Cay,T0,5
Coral Cay,T0,11
Coral Cay,T0,36
Coral Cay,T0,18
Coral Cay,T0,26
Coral Cay,T0,16
Pastores,T0,1
Pastores,T0,4
Pastores,T0,17
Pastores,T0,1
Pastores,T0,0
Pastores,T0,57
Pastores,T0,0
Pastores,T0,0
Pastores,T0,1
Pastores,T0,2
Pastores,T0,2
Popa,T0,23
Popa,T0,33
Popa,T0,27
Popa,T0,34
Popa,T0,41
Popa,T0,37
Popa,T0,59
Popa,T0,23
Popa,T0,7
Popa,T0,27
Popa,T0,16
Punta Juan,T0,1
Punta Juan,T0,2
Punta Juan,T0,4
Punta Juan,T0,4
Punta Juan,T0,2
Punta Juan,T0,8
Punta Juan,T0,24
Punta Juan,T0,12
Punta Juan,T0,42
Punta Juan,T0,24
Punta Juan,T0,26
Salt Creek,T0,30
Salt Creek,T0,45
Salt Creek,T0,53
Salt Creek,T0,65
Salt Creek,T0,56
Salt Creek,T0,69
Salt Creek,T0,48
Salt Creek,T0,34
Salt Creek,T0,26
Salt Creek,T0,19
Salt Creek,T0,29
STRI,T0,18
STRI,T0,45
STRI,T0,23
STRI,T0,61
STRI,T0,0
STRI,T0,33
STRI,T0,4
STRI,T0,13
STRI,T0,6
STRI,T0,8
Cayo Roldan,T1,54
Cayo Roldan,T1,22
Cayo Roldan,T1,32
Cayo Roldan,T1,36
Cayo Roldan,T1,24
Cayo Roldan,T1,36
Cayo Roldan,T1,48
Cayo Roldan,T1,24
Cayo Roldan,T1,6
Cayo Roldan,T1,28
Cayo Roldan,T1,28
Hospital Point,T1,48
Hospital Point,T1,78
Hospital Point,T1,88
Hospital Point,T1,44
Hospital Point,T1,46
Hospital Point,T1,48
Hospital Point,T1,54
Hospital Point,T1,24
Hospital Point,T1,8
Hospital Point,T1,16
Hospital Point,T1,44
Mainland,T1,26
Mainland,T1,68
Mainland,T1,8
Mainland,T1,46
Mainland,T1,12
Mainland,T1,30
Mainland,T1,2
Mainland,T1,0
Mainland,T1,2
Mainland,T1,16
Mainland,T1,64
Almirante,T3,0
Almirante,T3,15
Almirante,T3,1
Almirante,T3,5
Almirante,T3,4
Almirante,T3,2
Almirante,T3,1
Almirante,T3,2
Almirante,T3,5
Almirante,T3,2
Almirante,T3,0
Almirante,T3,8
Almirante,T3,1
Almirante,T3,2
Almirante,T3,15
Almirante,T3,7
Almirante,T3,2
Almirante,T3,0
Almirante,T3,10
Almirante,T3,10
Caracol,T3,8
Caracol,T3,1
Caracol,T3,29
Caracol,T3,26
Caracol,T3,10
Caracol,T3,10
Caracol,T3,0
Caracol,T3,2
Caracol,T3,12
Caracol,T3,24
Cayo Roldan,T3,26
Cayo Roldan,T3,18
Cayo Roldan,T3,22
Cayo Roldan,T3,18
Cayo Roldan,T3,28
Cayo Roldan,T3,26
Cayo Roldan,T3,20
Cayo Roldan,T3,30
Cayo Roldan,T3,2
Cayo Roldan,T3,2
Cayo Roldan,T3,20
Coral Cay,T3,11
Coral Cay,T3,9
Coral Cay,T3,6
Coral Cay,T3,15
Coral Cay,T3,37
Coral Cay,T3,87
Coral Cay,T3,12
Coral Cay,T3,17
Coral Cay,T3,50
Coral Cay,T3,53
Coral Cay,T3,84
Hospital Point,T3,46
Hospital Point,T3,43
Hospital Point,T3,89
Hospital Point,T3,55
Hospital Point,T3,47
Hospital Point,T3,59
Hospital Point,T3,54
Hospital Point,T3,30
Hospital Point,T3,40
Hospital Point,T3,38
Hospital Point,T3,65
Mainland,T3,8
Mainland,T3,33
Mainland,T3,23
Mainland,T3,44
Mainland,T3,19
Mainland,T3,39
Mainland,T3,15
Mainland,T3,16
Mainland,T3,11
Mainland,T3,23
Mainland,T3,61
Pastores,T3,2
Pastores,T3,0
Pastores,T3,4
Pastores,T3,1
Pastores,T3,1
Pastores,T3,0
Pastores,T3,0
Pastores,T3,1
Pastores,T3,0
Pastores,T3,3
Pastores,T3,0
Popa,T3,43
Popa,T3,36
Popa,T3,18
Popa,T3,25
Popa,T3,27
Popa,T3,10
Popa,T3,6
Popa,T3,8
Popa,T3,16
Popa,T3,2
Popa,T3,9
Punta Juan,T3,24
Punta Juan,T3,24
Punta Juan,T3,23
Punta Juan,T3,21
Punta Juan,T3,34
Punta Juan,T3,4
Punta Juan,T3,14
Punta Juan,T3,41
Punta Juan,T3,50
Punta Juan,T3,58
Punta Juan,T3,63
Salt Creek,T3,39
Salt Creek,T3,32
Salt Creek,T3,33
Salt Creek,T3,26
Salt Creek,T3,19
Salt Creek,T3,29
Salt Creek,T3,60
Salt Creek,T3,22
Salt Creek,T3,45
Salt Creek,T3,7
Salt Creek,T3,26
STRI,T3,2
STRI,T3,11
STRI,T3,45
STRI,T3,5
STRI,T3,22
STRI,T3,9
STRI,T3,2
STRI,T3,10
STRI,T3,11
STRI,T3,3
Almirante,T5,14
Almirante,T5,31
Almirante,T5,11
Almirante,T5,10
Almirante,T5,15
Almirante,T5,36
Almirante,T5,10
Almirante,T5,13
Almirante,T5,12
Almirante,T5,11
Almirante,T5,1
Almirante,T5,16
Almirante,T5,16
Almirante,T5,11
Almirante,T5,16
Almirante,T5,28
Almirante,T5,14
Almirante,T5,22
Almirante,T5,14
Almirante,T5,6
Caracol,T5,4
Caracol,T5,4
Caracol,T5,2
Caracol,T5,34
Caracol,T5,16
Caracol,T5,3
Caracol,T5,6
Caracol,T5,0
Caracol,T5,0
Caracol,T5,5
Caracol,T5,21
Cayo Roldan,T5,38
Cayo Roldan,T5,23
Cayo Roldan,T5,19
Cayo Roldan,T5,27
Cayo Roldan,T5,32
Cayo Roldan,T5,27
