Site,Time Point,Live Hard Coral,Dead Coral,"Soft Coral, Fire Coral",Zoanthid,Other Invertebrates,Sponge,CCA,Other Algae,"Substrate (Rubble, sand)"
Almirante,T0,14,18,0,1,3,7,0,8,48
Almirante,T0,19,5,0,2,7,8,0,13,44
Almirante,T0,17,2,0,19,6,16,0,7,33
Almirante,T0,28,3,0,16,3,2,0,8,40
Almirante,T0,15,11,0,0,4,5,0,16,45
Almirante,T0,25,14,0,0,3,12,0,7,39
Almirante,T0,9,7,0,1,11,12,0,20,38
Almirante,T0,9,5,0,1,12,8,0,16,49
Almirante,T0,28,4,0,0,4,7,0,22,34
Almirante,T0,9,3,0,0,2,27,0,28,31
Almirante,T0,0,5,0,0,0,26,0,24,45
Almirante,T0,10,10,0,0,2,15,0,33,28
Almirante,T0,8,14,0,0,3,10,0,30,35
Almirante,T0,15,0,0,0,1,12,0,39,32
Almirante,T0,29,3,0,0,9,20,1,12,25
Almirante,T0,39,1,0,0,5,15,0,20,20
Almirante,T0,18,3,0,0,7,9,0,25,37
Almirante,T0,22,3,0,0,6,16,0,29,24
Almirante,T0,19,12,0,0,4,29,1,11,21
Almirante,T0,12,2,0,0,9,30,2,29,16
Caracol,T0,10,0,0,0,0,12,1,24,53
Caracol,T0,3,1,0,0,0,4,0,20,71
Caracol,T0,0,2,2,8,0,3,0,28,57
Caracol,T0,35,8,0,1,0,1,0,14,41
Caracol,T0,22,12,0,0,0,5,0,20,39
Caracol,T0,7,1,1,1,0,5,0,22,63
Caracol,T0,9,0,0,1,0,1,1,57,29
Caracol,T0,0,0,0,0,0,0,0,0,100
Caracol,T0,3,4,0,0,0,2,0,8,83
Caracol,T0,9,2,2,0,0,26,0,8,51
Caracol,T0,29,6,0,0,0,1,0,1,63
Coral Cay,T0,12,0,0,0,0,0,3,82,1
Coral Cay,T0,9,0,0,0,0,1,1,88,1
Coral Cay,T0,6,0,4,0,0,3,1,86,0
Coral Cay,T0,9,0,0,0,0,7,9,71,4
Coral Cay,T0,68,5,1,0,0,2,14,8,2
Coral Cay,T0,1,1,2,0,0,0,4,88,4
Coral Cay,T0,5,0,4,0,0,1,4,86,0
Coral Cay,T0,20,1,17,7,1,8,4,40,2
Coral Cay,T0,13,8,3,0,4,1,2,69,0
Coral Cay,T0,1,0,0,0,0,10,25,63,0
Coral Cay,T0,6,0,3,0,0,2,7,81,0
Pastores,T0,0,0,0,6,3,52,0,8,30
Pastores,T0,0,0,0,17,2,39,0,4,37
Pastores,T0,5,0,0,30,5,27,0,2,31
Pastores,T0,2,0,0,30,5,31,0,5,27
Pastores,T0,3,0,0,30,4,28,0,1,34
Pastores,T0,0,0,0,19,1,27,0,0,53
Pastores,T0,0,0,0,17,4,42,0,3,34
Pastores,T0,0,0,0,3,5,46,0,1,45
Pastores,T0,1,0,0,6,3,31,0,2,57
Pastores,T0,2,0,0,26,5,22,0,0,45
Pastores,T0,1,0,0,2,3,29,0,1,64
Popa,T0,21,0,14,0,1,15,7,41,1
Popa,T0,18,2,1,1,4,0,1,73,0
Popa,T0,13,1,0,2,0,0,1,82,1
Popa,T0,13,0,9,0,7,11,5,50,2
Popa,T0,9,4,0,1,1,1,8,74,2
Popa,T0,4,3,1,0,0,0,2,88,1
Popa,T0,1,0,0,0,0,0,1,97,0
Popa,T0,6,3,3,0,1,1,2,83,0
Popa,T0,4,0,1,0,0,1,5,87,2
Popa,T0,3,0,1,0,0,4,1,90,1
