Site,Time Point,Live Hard Coral,Dead Coral,"Soft Coral, Fire Coral",Zoanthid,Other Invertebrates,Sponge,CCA,Other Algae,"Substrate (Rubble, sand)"
Almirante,T9,0,34,0,4,0,16,0,10,34
Almirante,T9,0,8,0,2,4,4,0,20,62
Almirante,T9,2,52,0,0,0,2,0,20,20
Almirante,T9,0,6,0,14,0,12,0,12,56
Almirante,T9,0,0,0,4,0,22,2,20,52
Almirante,T9,0,24,0,0,8,4,0,18,42
Almirante,T9,0,0,0,0,0,8,0,14,76
Almirante,T9,0,0,0,0,4,10,0,10,74
Almirante,T9,0,16,0,0,0,10,0,8,64
Almirante,T9,0,0,4,0,0,22,0,18,52
Almirante,T9,0,0,0,0,6,8,0,14,70
Almirante,T9,0,18,0,0,0,30,0,14,36
Almirante,T9,0,20,0,0,4,10,0,16,42
Almirante,T9,0,8,0,0,0,12,0,36,36
Almirante,T9,0,12,0,0,0,16,0,26,42
Almirante,T9,0,30,4,0,0,2,0,6,54
Almirante,T9,0,24,0,0,0,10,0,4,58
Almirante,T9,0,8,0,2,2,10,0,28,40
Almirante,T9,6,12,0,0,2,12,0,4,60
Caracol,T9,0,4,0,0,2,12,0,20,60
Caracol,T9,0,0,0,0,0,4,0,6,86
Caracol,T9,6,6,0,4,0,10,10,4,56
Caracol,T9,30,6,0,0,0,0,0,2,62
Caracol,T9,26,8,0,0,0,6,2,2,54
Caracol,T9,4,4,0,0,0,4,6,10,64
Caracol,T9,12,4,0,0,0,2,0,14,66
Caracol,T9,0,0,0,0,0,0,0,0,92
Caracol,T9,2,10,0,0,0,0,0,2,84
Caracol,T9,4,16,0,0,0,16,0,4,58
Caracol,T9,26,10,0,0,0,0,0,4,60
Cayo Roldan,T9,24,12,2,52,0,0,0,4,2
Cayo Roldan,T9,0,6,10,40,6,18,4,4,10
Cayo Roldan,T9,2,10,0,40,2,4,0,4,34
Cayo Roldan,T9,2,4,10,42,4,6,0,2,24
Cayo Roldan,T9,12,8,2,40,2,4,0,4,28
Cayo Roldan,T9,28,10,0,22,0,2,0,4,28
Cayo Roldan,T9,10,20,0,34,2,8,0,4,18
Cayo Roldan,T9,2,2,0,12,2,12,0,0,62
Cayo Roldan,T9,2,2,0,38,2,12,0,2,36
Cayo Roldan,T9,2,0,0,46,0,4,0,4,44
Cayo Roldan,T9,4,10,6,38,2,10,0,0,28
Coral Cay,T9,4,0,2,0,0,0,6,86,2
Coral Cay,T9,2,0,2,0,0,2,4,80,10
Coral Cay,T9,16,2,8,0,0,0,16,54,2
Coral Cay,T9,10,0,4,0,0,0,0,84,2
Coral Cay,T9,14,0,2,6,0,18,4,56,0
Coral Cay,T9,0,8,8,0,4,2,6,70,2
Coral Cay,T9,8,0,0,4,8,6,16,42,16
Coral Cay,T9,10,0,0,0,2,0,32,34,22
Coral Cay,T9,20,0,2,0,2,6,10,44,16
Coral Cay,T9,6,0,26,0,2,6,18,36,4
Coral Cay,T9,0,0,2,22,0,14,16,40,4
Coral Cay,T9,2,0,0,0,12,0,16,46,24
Hospital Point,T9,8,4,24,0,0,10,4,6,34
Hospital Point,T9,0,0,2,0,0,2,8,6,72
Hospital Point,T9,16,22,2,0,0,0,8,30,18
Hospital Point,T9,0,6,18,0,0,10,4,6,54
Hospital Point,T9,8,10,4,0,0,0,10,2,64
Hospital Point,T9,2,2,6,0,0,16,6,12,54
Hospital Point,T9,0,2,2,0,0,6,4,0,84
Hospital Point,T9,4,0,0,0,0,8,2,8,76
Hospital Point,T9,2,4,2,0,0,4,6,30,50
Hospital Point,T9,2,0,6,0,0,10,4,4,74
Hospital Point,T9,30,2,2,0,0,24,0,0,40
Mainland,T9,6,0,0,12,8,30,0,0,38
Mainland,T9,10,6,0,26,0,28,0,0,20
Mainland,T9,6,0,0,30,2,26,2,0,32
Mainland,T9,18,12,0,26,2,22,0,4,10
Mainland,T9,6,2,0,36,0,28,0,0,20
Mainland,T9,4,12,0,38,4,12,0,8,18
Mainland,T9,0,16,0,12,2,14,2,20,28
Mainland,T9,0,8,0,38,4,10,0,0,36
Mainland,T9,0,6,2,14,4,18,0,2,50
Mainland,T9,0,8,0,12,0,6,0,0,66
Mainland,T9,0,0,0,32,4,22,0,18,24
Pastores,T9,4,0,0,12,6,10,0,4,64
Pastores,T9,4,0,0,16,4,42,2,0,30
Pastores,T9,10,4,0,36,4,20,0,2,16
Pastores,T9,4,2,2,16,2,38,0,0,32
Pastores,T9,2,4,0,12,0,46,0,0,34
Pastores,T9,0,0,0,28,0,16,0,0,52
Pastores,T9,2,0,0,26,2,28,0,0,38
Pastores,T9,0,2,0,20,2,32,0,0,40
Pastores,T9,2,0,0,10,2,6,0,0,76
Pastores,T9,0,2,0,38,4,20,0,0,30
Pastores,T9,0,0,0,28,12,26,0,2,30
Popa,T9,0,0,2,0,2,6,2,68,20
Popa,T9,2,0,0,0,2,0,8,84,4
Popa,T9,0,0,0,0,4,0,6,84,6
Popa,T9,0,0,0,0,2,4,6,80,8
Popa,T9,2,0,0,0,0,0,4,88,6
Popa,T9,2,0,0,0,0,0,10,78,10
Popa,T9,2,0,0,0,0,0,2,86,10
Popa,T9,4,0,0,0,2,0,2,60,32
Popa,T9,0,0,2,0,0,0,0,96,2
Popa,T9,0,0,0,0,0,0,0,100,0
Punta Juan,T9,2,0,8,0,6,2,0,0,82
Punta Juan,T9,12,2,4,0,0,12,2,12,50
Punta Juan,T9,8,8,10,0,2,28,0,8,28
Punta Juan,T9,16,6,22,0,0,12,2,12,22
Punta Juan,T9,10,4,12,0,2,30,0,8,34
Punta Juan,T9,4,4,0,16,0,18,8,26,24
Punta Juan,T9,2,4,4,0,0,22,2,12,54
Punta Juan,T9,8,0,42,0,0,24,0,6,14
Punta Juan,T9,24,2,38,0,2,18,0,4,8
Punta Juan,T9,12,14,52,0,4,10,0,0,8
Punta Juan,T9,8,0,44,0,4,12,4,8,20
Punta Juan,T9,18,6,32,0,2,18,0,4,20
Punta Juan,T9,62,6,2,0,0,12,2,10,4
Salt Creek,T9,8,0,4,0,0,0,0,80,8
Salt Creek,T9,8,6,16,0,0,2,6,36,24
Salt Creek,T9,4,0,0,0,0,0,4,50,38
Salt Creek,T9,8,2,22,0,0,0,2,40,20
Salt Creek,T9,0,0,0,0,0,0,8,36,52
Salt Creek,T9,4,0,2,0,0,0,2,82,8
Salt Creek,T9,36,2,12,0,0,0,4,8,38
Salt Creek,T9,0,2,2,0,0,0,6,6,84
Salt Creek,T9,4,8,12,0,0,0,2,68,4
Salt Creek,T9,0,0,0,0,0,0,0,2,96
Salt Creek,T9,2,26,4,0,4,0,14,28,16
STRI,T9,2,0,0,0,0,20,0,0,76
STRI,T9,12,0,0,0,0,16,0,0,68
STRI,T9,2,4,0,0,2,14,2,0,76
STRI,T9,0,2,0,0,0,24,0,8,64
STRI,T9,0,2,0,0,0,20,0,4,72
STRI,T9,0,18,0,0,4,32,0,0,44
STRI,T9,0,6,0,0,0,8,0,0,82
STRI,T9,0,8,0,0,0,20,0,0,70
STRI,T9,0,6,0,0,0,36,2,2,52
STRI,T9,0,2,0,0,0,34,0,0,58
