"NMDS1","NMDS2","TimePoint","Site"
-0.142617415777469,-0.000139567266205405,"T0","Almirante"
-0.306594743180823,-0.0335377605360406,"T3","Almirante"
-0.13535679455633,-0.0854827015442369,"T5","Almirante"
-0.122249959814521,0.00710759897960209,"T6","Almirante"
-0.20411027480442,-0.0119059504076761,"T7","Almirante"
-0.163786015817379,-0.0684372333286627,"T8","Almirante"
-0.289175235103143,-0.15046904818347,"T9","Almirante"
-0.0209289098681525,-0.367553022350464,"T0","Caracol"
-0.0887620849039824,-0.321867048183715,"T3","Caracol"
-0.0868878934023103,-0.524305377114877,"T5","Caracol"
-0.126952595237918,-0.535376830886695,"T6","Caracol"
-0.214033967243504,-0.518682971785507,"T7","Caracol"
-0.290524955361642,-0.514207302070874,"T8","Caracol"
-0.160692687039588,-0.346673693131852,"T9","Caracol"
-0.098096947628662,0.244950622704395,"T1","Cayo Roldan"
-0.00196368632409885,0.1332122870352,"T3","Cayo Roldan"
-0.105653216197795,0.164159064042304,"T5","Cayo Roldan"
-0.118465373790224,0.214208308657563,"T6","Cayo Roldan"
-0.0446613504339858,0.254408295853938,"T7","Cayo Roldan"
-0.0627324067062325,0.154327942353768,"T8","Cayo Roldan"
-0.17025685621262,0.266255479789512,"T9","Cayo Roldan"
0.471161809454123,0.0445591251160438,"T0","Coral Cay"
0.456544342506471,0.120782413398319,"T3","Coral Cay"
0.488638191713255,0.206441594227594,"T5","Coral Cay"
0.427240091644363,0.118198274863829,"T6","Coral Cay"
0.401079786875227,0.194604732371586,"T7","Coral Cay"
0.305063624026225,-0.000815938256920319,"T8","Coral Cay"
0.278958948863777,0.17031498323227,"T9","Coral Cay"
0.28063248393385,-0.150232667423992,"T1","Hospital Point"
0.337687579637976,-0.139570366453664,"T3","Hospital Point"
0.424171415293296,-0.125093266891818,"T5","Hospital Point"
0.379601901002023,-0.0630752533577115,"T6","Hospital Point"
0.398788584840335,-0.265692412179273,"T7","Hospital Point"
0.212689059732247,-0.282811417875622,"T8","Hospital Point"
0.0195457769808313,-0.413020394991728,"T9","Hospital Point"
-0.2222699447902,0.241872633426417,"T1","Mainland"
-0.0960001081911667,0.364649588079133,"T3","Mainland"
-0.22283704625986,0.439528926019169,"T5","Mainland"
-0.276688643248417,0.10660086615751,"T6","Mainland"
-0.210702649705216,0.39309865878004,"T7","Mainland"
-0.212645153509441,0.175443225542912,"T8","Mainland"
-0.353299928170648,0.189592803377113,"T9","Mainland"
-0.609649313714524,0.232971176202695,"T0","Pastores"
-0.514528478365765,0.23667941470083,"T3","Pastores"
-0.545920403542882,0.231037187677482,"T5","Pastores"
-0.557646701525222,0.198486982478844,"T6","Pastores"
-0.567927357136149,0.278591235877905,"T7","Pastores"
-0.486567636336215,0.175627864601067,"T8","Pastores"
-0.49179090581134,0.249229193162523,"T9","Pastores"
0.432899550023345,0.143054435808089,"T0","Popa"
0.598224179651312,0.0947648094981953,"T3","Popa"
0.583653390949563,0.250357754686708,"T5","Popa"
0.559654516266372,0.0795441598314787,"T6","Popa"
0.515013031659759,0.146107986813843,"T7","Popa"
0.424523069042971,0.504281806106822,"T9","Popa"
0.0823058503430612,0.00581387494993895,"T0","Punta Juan"
0.0676592370872361,0.0471805386377826,"T3","Punta Juan"
0.123912946428837,0.031561102759791,"T5","Punta Juan"
0.107084743035588,0.0999054445766788,"T6","Punta Juan"
0.12239017580236,0.113599400557996,"T7","Punta Juan"
0.0192119825696529,0.0209867981488358,"T8","Punta Juan"
0.0434246392878399,-0.0268272184232578,"T9","Punta Juan"
-0.45371737540578,-0.188451597693704,"T0","STRI"
-0.471060921338534,-0.101597201046952,"T3","STRI"
-0.406346167228475,-0.155179542605455,"T5","STRI"
-0.494516502980365,-0.180930186191081,"T6","STRI"
-0.370940462736478,-0.183588715300125,"T7","STRI"
-0.368902338633476,-0.237303175695218,"T8","STRI"
-0.502762644605337,-0.322328389783258,"T9","STRI"
0.454790632957311,-0.100593481243827,"T0","Salt Creek"
0.427480011877536,-0.0486650211858436,"T3","Salt Creek"
0.489914754025951,-0.0546974544866628,"T5","Salt Creek"
0.444665845770079,-0.224405599518937,"T6","Salt Creek"
0.421645759434629,-0.102312839454742,"T7","Salt Creek"
0.273281476617584,-0.183349632731807,"T8","Salt Creek"
0.317684663305306,-0.314918311503847,"T9","Salt Creek"
