Site,Time Point,Fleshy Organism Cover,Fire Coral ,Branching Porites Cover
Almirante,T0,16,0,0
Almirante,T0,21,0,1
Almirante,T0,42,0,0
Almirante,T0,26,0,0
Almirante,T0,21,0,0
Almirante,T0,19,0,0
Almirante,T0,32,0,0
Almirante,T0,23,0,0
Almirante,T0,28,0,0
Almirante,T0,54,0,0
Almirante,T0,48,0,0
Almirante,T0,48,0,0
Almirante,T0,39,0,0
Almirante,T0,50,0,0
Almirante,T0,31,0,0
Almirante,T0,34,0,0
Almirante,T0,34,0,0
Almirante,T0,45,0,0
Almirante,T0,37,0,0
Almirante,T0,56,0,0
Caracol,T0,34,0,0
Caracol,T0,23,0,0
Caracol,T0,38,0,1
Caracol,T0,15,0,4
Caracol,T0,21,0,17
Caracol,T0,24,0,0
Caracol,T0,51,0,0
Caracol,T0,0,0,57
Caracol,T0,10,0,0
Caracol,T0,34,0,0
Caracol,T0,1,0,1
Coral Cay,T0,57,0,3
Coral Cay,T0,68,0,0
Coral Cay,T0,86,0,1
Coral Cay,T0,67,0,0
Coral Cay,T0,6,1,0
Coral Cay,T0,86,0,2
Coral Cay,T0,87,2,6
Coral Cay,T0,48,12,61
Coral Cay,T0,69,3,28
Coral Cay,T0,73,0,29
Coral Cay,T0,54,3,3
Pastores,T0,8,0,0
Pastores,T0,53,0,0
Pastores,T0,33,0,0
Pastores,T0,23,0,0
Pastores,T0,21,0,0
Pastores,T0,22,0,0
Pastores,T0,57,0,0
Pastores,T0,46,0,0
Pastores,T0,58,0,0
Pastores,T0,57,0,0
Pastores,T0,49,0,34
Popa,T0,60,8,3
Popa,T0,55,2,3
Popa,T0,29,4,1
Popa,T0,41,3,1
Popa,T0,40,17,0
Popa,T0,51,1,0
Popa,T0,35,14,0
Popa,T0,50,4,6
Popa,T0,60,0,0
Popa,T0,8,4,0
Popa,T0,65,0,1
Punta Juan,T0,81,0,0
Punta Juan,T0,57,0,0
Punta Juan,T0,67,1,14
Punta Juan,T0,41,0,0
Punta Juan,T0,43,0,0
Punta Juan,T0,27,0,0
Punta Juan,T0,9,1,0
Punta Juan,T0,12,5,0
Punta Juan,T0,16,3,0
Punta Juan,T0,40,8,7
Punta Juan,T0,16,0,18
